soll;funktion;Hauptfunktion
248485958;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik
110061348;0;Allgemeine Dienste
34658874;8;Finanzwirtschaft
32211210;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten
28835917;7;Verkehrs- und Nachrichtenwesen
20703041;3;Gesundheit, Umwelt, Sport und Erholung
15074558;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen"""
3602611;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste"
2157958;5;Landwirtschaft und Ernährung
