soll;hauptfunktion;hauptfunktionstitel;has_excess;excess_vals
161484788;2;Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik;false;0
71571754;0;Allgemeine Dienste;false;0
31251762;8;Finanzwirtschaft;false;0
21961294;1;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;false;0
18880635;7;Verkehrs- und Nachrichtenwesen;false;0
5869955;6;"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen""";false;0
2501688;4;"Wohnungswesen, Städtebau, Raumordnung und kommunale
  Gemeinschaftsdienste";false;0
2311647;3;Gesundheit, Umwelt, Sport und Erholung;false;0
1066477;5;Landwirtschaft und Ernährung;false;0
